//コマンド,パラメータ1,パラメータ2,パラメータ3
WAIT,120,,
POP,41,0,-30
SPEED,0.1,0,0
WAIT,120,,
POP,-9,0,-5
SPEED,-0.1,0,0
WAIT,120,,
POP,19,0,-5
SPEED,0.1,0,0
WAIT,120,,
POP,90,0,-72
SPEED,0.1,0,0
WAIT,120,,
POP,87,0,44
SPEED,0.1,0,0
WAIT,120,,
POP,50,0,45
SPEED,0.1,0,0
WAIT,120,,
POP,99,0,67
SPEED,0.1,0,0
WAIT,120,,
POP,46,0,108
SPEED,0.1,0,0
WAIT,120,,
POP,-40,0,50
SPEED,0.1,0,0
WAIT,120,,
POP,6,0,108
SPEED,0.1,0,0
WAIT,120,,
POP,66,0,-50
SPEED,0.1,0,0
WAIT,120,,
POP,-40,0,108
SPEED,0.1,0,0
WAIT,120,,
POP,4,0,108
SPEED,0.1,0,0
WAIT,120,,
POP,-16,0,81
SPEED,0.1,0,0
WAIT,120,,
POP,26,0,74
SPEED,0.1,0,0
WAIT,120,,
POP,9,0,17
SPEED,0.1,0,0
